U_ppm,Ta_ppm,Pt_ppb,Pd_ppb,X,Y
4.02,1.074,0.0,0.0,77.194444,15.599099
2.283,0.912,0.0,0.0,77.212963,15.599099
3.582,0.954,0.0,0.0,77.231481,15.599099
3.298,0.912,0.0,0.0,77.25,15.599099
1.705,0.739,0.0,0.0,77.009259,15.617117
3.021,0.969,0.0,0.0,77.027778,15.617117
2.618,1.097,0.0,0.0,77.046296,15.617117
2.508,0.998,0.0,0.0,77.064815,15.617117
1.863,0.92,0.0,0.0,77.083333,15.617117
2.264,0.852,0.0,0.0,77.101852,15.617117
1.717,0.802,0.0,0.0,77.12037,15.617117
2.884,0.885,0.0,0.0,77.138889,15.617117
2.466,0.906,0.0,0.0,77.157407,15.617117
4.082,0.841,0.0,0.0,77.175926,15.617117
2.851,0.905,0.0,0.0,77.194444,15.617117
3.267,0.896,0.0,0.0,77.212963,15.617117
3.111,0.953,0.0,0.0,77.231481,15.617117
4.345,0.876,0.0,0.0,77.25,15.617117
1.835,0.8,0.0,0.0,77.009259,15.635135
2.14,0.726,0.0,0.0,77.027778,15.635135
1.915,0.658,0.0,0.0,77.046296,15.635135
2.247,0.837,0.0,0.0,77.064815,15.635135
1.57,0.852,0.0,0.0,77.083333,15.635135
1.999,0.837,0.0,0.0,77.101852,15.635135
2.27,0.865,0.0,0.0,77.12037,15.635135
1.929,0.739,0.0,0.0,77.138889,15.635135
2.277,0.772,0.0,0.0,77.157407,15.635135
2.46,0.743,0.0,0.0,77.175926,15.635135
2.775,0.952,0.0,0.0,77.194444,15.635135
2.634,0.859,0.0,0.0,77.212963,15.635135
2.172,0.875,0.0,0.0,77.231481,15.635135
2.515,0.896,0.0,0.0,77.25,15.635135
2.875,0.997,0.0,0.0,77.009259,15.653153
2.491,0.936,0.0,0.0,77.027778,15.653153
1.882,0.688,0.0,0.0,77.046296,15.653153
1.705,0.922,0.0,0.0,77.064815,15.653153
1.599,0.799,0.0,0.0,77.083333,15.653153
1.537,0.79,0.0,0.0,77.101852,15.653153
2.595,0.898,0.0,0.0,77.12037,15.653153
2.356,0.936,0.0,0.0,77.138889,15.653153
2.162,0.955,0.0,0.0,77.157407,15.653153
2.197,0.898,0.0,0.0,77.175926,15.653153
2.307,0.818,0.0,0.0,77.194444,15.653153
2.313,0.78,0.0,0.0,77.212963,15.653153
5.111,0.883,0.0,0.0,77.231481,15.653153
2.845,0.419,0.0,0.0,77.25,15.653153
2.603,0.827,0.0,0.0,77.009259,15.671171
2.455,0.677,0.0,0.0,77.027778,15.671171
1.742,0.74,0.5,0.5,77.009259,15.509009
1.992,0.715,0.5,0.6,77.027778,15.509009
2.812,0.949,0.7,0.7,77.046296,15.509009
2.552,0.845,0.7,0.7,77.064815,15.509009
2.709,0.932,0.7,0.5,77.083333,15.509009
2.791,1.075,1.1,1.0,77.101852,15.509009
3.106,1.121,0.8,0.9,77.12037,15.509009
2.783,1.033,0.6,0.5,77.138889,15.509009
2.456,1.062,1.2,1.2,77.157407,15.509009
2.733,1.037,1.1,1.2,77.175926,15.509009
2.448,0.943,0.7,0.7,77.194444,15.509009
2.444,0.969,0.7,0.6,77.212963,15.509009
1.834,0.553,0.3,0.15,77.231481,15.509009
2.599,0.974,1.1,0.9,77.25,15.509009
3.333,1.077,1.0,1.1,77.009259,15.527027
2.807,1.121,1.2,1.3,77.027778,15.527027
34.117001,1.05,2.3,1.1,77.046296,15.527027
3.392,1.186,0.7,1.0,77.064815,15.527027
3.609,1.091,0.8,1.0,77.083333,15.527027
2.854,1.068,0.8,0.7,77.101852,15.527027
3.405,1.024,0.9,0.8,77.12037,15.527027
2.799,1.131,0.8,0.9,77.138889,15.527027
2.804,1.248,1.2,1.2,77.157407,15.527027
2.821,1.136,1.1,1.0,77.175926,15.527027
2.115,1.016,1.2,1.2,77.194444,15.527027
2.021,0.763,1.1,1.0,77.212963,15.527027
2.198,0.852,1.1,1.0,77.231481,15.527027
2.302,0.806,1.1,1.0,77.25,15.527027
2.677,0.448,0.8,0.4,77.009259,15.545045
2.49,0.488,0.7,0.4,77.027778,15.545045
2.489,0.594,0.8,0.4,77.046296,15.545045
2.113,0.997,1.4,1.6,77.064815,15.545045
1.95,0.973,1.3,1.5,77.083333,15.545045
2.351,0.913,1.4,0.9,77.101852,15.545045
2.103,0.948,1.0,0.9,77.12037,15.545045
2.543,0.737,0.7,0.5,77.138889,15.545045
2.548,0.785,0.8,0.9,77.157407,15.545045
2.584,1.118,1.1,0.8,77.175926,15.545045
1.491,0.81,0.9,1.0,77.194444,15.545045
1.784,0.841,0.8,0.9,77.212963,15.545045
1.996,0.898,0.9,1.0,77.231481,15.545045
1.828,0.853,0.8,0.9,77.25,15.545045
1.94,0.986,0.9,0.9,77.009259,15.563063
2.306,0.42,0.4,0.15,77.027778,15.563063
2.411,0.483,0.7,0.15,77.046296,15.563063
2.317,0.831,1.1,1.1,77.064815,15.563063
1.921,0.907,0.9,1.0,77.083333,15.563063
1.776,0.709,0.8,0.8,77.101852,15.563063
2.425,0.888,0.7,0.9,77.12037,15.563063
2.996,1.034,1.2,0.9,77.138889,15.563063
1.939,0.906,0.8,1.0,77.157407,15.563063
2.298,0.8,1.0,0.9,77.175926,15.563063
1.868,0.755,0.9,0.7,77.194444,15.563063
1.899,0.749,0.8,0.8,77.212963,15.563063
2.272,0.89,0.9,0.9,77.231481,15.563063
2.328,0.931,1.3,0.8,77.25,15.563063
2.11,1.055,0.7,1.0,77.009259,15.581081
2.593,1.046,0.9,0.9,77.027778,15.581081
1.967,0.913,0.9,0.9,77.046296,15.581081
2.189,0.84495,0.0,0.0,77.175926,15.171644
2.151,1.062,1.0,1.1,77.064815,15.581081
1.759,0.95,1.0,1.2,77.083333,15.581081
2.52,0.986,0.8,0.9,77.101852,15.581081
2.205,0.769,0.8,0.7,77.12037,15.581081
1.669,0.836,0.8,1.0,77.138889,15.581081
1.792,0.956,1.0,1.3,77.157407,15.581081
1.993,0.969,0.8,1.1,77.175926,15.581081
2.199,0.963,0.9,1.1,77.194444,15.581081
2.364,0.764,0.6,0.7,77.212963,15.581081
2.343,0.898,1.0,1.0,77.231481,15.581081
2.091,0.846,0.8,0.7,77.25,15.581081
2.808,1.006,0.7,0.8,77.009259,15.599099
1.885,0.546,0.8,1.0,77.027778,15.599099
1.927,0.896,0.0,0.0,77.046296,15.599099
2.562,1.048,0.0,0.0,77.064815,15.599099
1.895,0.945,0.0,0.0,77.083333,15.599099
1.922,0.806,0.0,0.0,77.101852,15.599099
2.245,0.683,0.0,0.0,77.12037,15.599099
1.949,0.757,0.0,0.0,77.138889,15.599099
1.964,0.787,0.0,0.0,77.157407,15.599099
2.759,0.87,0.0,0.0,77.175926,15.599099
1.184,0.543,0.8,0.8,77.157407,15.277027
1.475,0.584,0.8,0.8,77.175926,15.277027
1.369,0.597,0.6,0.7,77.194444,15.277027
1.629,0.628,0.6,0.7,77.212963,15.277027
1.675,0.692,0.7,0.8,77.231481,15.277027
1.688,0.514,0.4,0.5,77.25,15.277027
1.319,0.547,0.6,0.7,77.009259,15.295045
1.879,0.666,0.8,0.9,77.027778,15.295045
1.453,0.587,0.7,0.8,77.046296,15.295045
1.337,0.544,0.5,0.5,77.064815,15.295045
1.51,0.622,0.7,1.0,77.083333,15.295045
1.528,0.668,0.6,0.9,77.101852,15.295045
1.607,0.716,0.7,0.8,77.12037,15.295045
1.569,0.662,1.4,1.2,77.138889,15.295045
1.181,0.54,0.7,0.7,77.157407,15.295045
1.21,0.615,0.9,0.6,77.175926,15.295045
1.432,0.503,0.5,0.6,77.194444,15.295045
1.84,0.593,0.6,0.6,77.212963,15.295045
1.65,0.544,0.6,0.6,77.231481,15.295045
1.623,0.601,0.8,1.0,77.25,15.295045
1.576,0.622,0.6,0.7,77.009259,15.313063
1.515,0.656,0.6,0.9,77.027778,15.313063
13.385,0.463,0.8,0.8,77.046296,15.313063
1.705,0.962,0.6,0.7,77.064815,15.313063
1.139,0.425,0.4,0.5,77.083333,15.313063
1.503,0.671,0.7,0.8,77.101852,15.313063
1.78,0.755,0.8,0.9,77.12037,15.313063
1.558,0.598,0.7,0.7,77.138889,15.313063
1.239,0.52,0.5,0.6,77.157407,15.313063
1.829,0.75,0.8,0.9,77.175926,15.313063
1.339,0.573,0.5,0.7,77.194444,15.313063
1.719,0.703,0.5,0.8,77.212963,15.313063
1.614,0.656,0.6,0.6,77.231481,15.313063
1.528,0.678,0.6,0.8,77.25,15.313063
1.26,0.674,0.9,1.0,77.009259,15.331081
1.366,0.608,0.5,0.6,77.027778,15.331081
