source_layer,popup,style,lon,lat
Mine Quarry,Layer: Mine Quarry,[object Object],76.2385685013501,14.220737678849027
Mine Quarry,Layer: Mine Quarry,[object Object],76.20211870058101,14.143979283913358
Mine Quarry,Layer: Mine Quarry,[object Object],76.2029265779777,14.145454280282369
Mine Quarry,Layer: Mine Quarry,[object Object],76.22529458688544,14.116412395104806
Mine Quarry,Layer: Mine Quarry,[object Object],76.23727533205226,14.100497905568968
Mine Quarry,Layer: Mine Quarry,[object Object],76.23946265494314,14.099999698882772
Mine Quarry,Layer: Mine Quarry,[object Object],76.24146940899595,14.098148371551442
Mine Quarry,Layer: Mine Quarry,[object Object],76.19936478280458,14.145436442447775
Mine Quarry,Layer: Mine Quarry,[object Object],76.20867036615826,14.138295615030291
Mine Quarry,Layer: Mine Quarry,[object Object],76.24544634586778,14.189036893416958
Mine Quarry,Layer: Mine Quarry,[object Object],76.26122549593568,14.171338745021187
Mine Quarry,Layer: Mine Quarry,[object Object],76.25838177429789,14.174971047725217
Mine Quarry,Layer: Mine Quarry,[object Object],76.25250195518956,14.179964148090262
Mine Quarry,Layer: Mine Quarry,[object Object],76.2164876937416,14.208940271275573
Mine Quarry,Layer: Mine Quarry,[object Object],76.213445941173,14.208327476936724
Mine Quarry,Layer: Mine Quarry,[object Object],76.211733555828,14.207335263740614
Mine Quarry,Layer: Mine Quarry,[object Object],76.18711530159949,14.168746015635355
Mine Quarry,Layer: Mine Quarry,[object Object],76.18882996366666,14.165837806914285
Mine Quarry,Layer: Mine Quarry,[object Object],76.19033742442633,14.163690044793624
Mine Quarry,Layer: Mine Quarry,[object Object],76.23703639064588,14.224532256259753
Mine Quarry,Layer: Mine Quarry,[object Object],76.23918817046531,14.22328019895257
Mine Quarry,Layer: Mine Quarry,[object Object],76.22932491899168,14.212681698812466
Mine Quarry,Layer: Mine Quarry,[object Object],76.2301295147746,14.209787925348436
Mine Quarry,Layer: Mine Quarry,[object Object],76.20128266409847,14.234361138136393
Mine Quarry,Layer: Mine Quarry,[object Object],76.24463575171465,14.09795972093429
Mine Quarry,Layer: Mine Quarry,[object Object],76.2358379159477,14.102184217094628
Mine Quarry,Layer: Mine Quarry,[object Object],76.23705165758477,14.105149211800054
Mine Quarry,Layer: Mine Quarry,[object Object],76.2370404208111,14.104017881592915
Mine Quarry,Layer: Mine Quarry,[object Object],76.21110731130628,14.133994811001385
Mine Quarry,Layer: Mine Quarry,[object Object],76.21524860952067,14.129798222290212
Mine Quarry,Layer: Mine Quarry,[object Object],76.22051598547526,14.124597435553548
Mine Quarry,Layer: Mine Quarry,[object Object],76.1928006535692,14.161356796186832
Mine Quarry,Layer: Mine Quarry,[object Object],76.20548921054692,14.246393779350788
Mine Quarry,Layer: Mine Quarry,[object Object],76.2014591530641,14.241166753899694
Mine Quarry,Layer: Mine Quarry,[object Object],76.1848724659486,14.170412704861496
Mine Quarry,Layer: Mine Quarry,[object Object],76.23275309586221,14.107775824016334
Mine Quarry,Layer: Mine Quarry,[object Object],76.28939440661667,14.135414863615706
Mine Quarry,Layer: Mine Quarry,[object Object],76.28939440661667,14.135414863615706
Mine Quarry,Layer: Mine Quarry,[object Object],76.2912633261298,14.132266070057053
Mine Quarry,Layer: Mine Quarry,[object Object],76.20844191894376,14.1272741594133
Mineralization,Layer: Mineralization,[object Object],76.44410117714312,14.149715412111835
Mineralization,Layer: Mineralization,[object Object],77.58692361501751,15.288869801610494
Mineralization,Layer: Mineralization,[object Object],77.59775723477384,15.29493544270779
Mineralization,Layer: Mineralization,[object Object],77.5918554027516,15.280024474492137
Mineralization,Layer: Mineralization,[object Object],77.59679101415117,15.280569645238767
Mineralization,Layer: Mineralization,[object Object],77.60124679172971,15.280269112069183
Mineralization,Layer: Mineralization,[object Object],77.60169834678109,15.27563177337815
Mineralization,Layer: Mineralization,[object Object],77.60107572332075,15.269959074783833
Mineralization,Layer: Mineralization,[object Object],77.60858366962617,15.262311813794197
Mineralization,Layer: Mineralization,[object Object],77.60920506112366,15.25727484051091
Mineralization,Layer: Mineralization,[object Object],77.52431533729431,14.25855351621412
Mineralization,Layer: Mineralization,[object Object],76.4452034702039,14.066249477300532
Mineralization,Layer: Mineralization,[object Object],77.50992962714523,14.31011802436637
Mineralization,Layer: Mineralization,[object Object],77.50992962714523,14.31011802436637
Mineralization,Layer: Mineralization,[object Object],77.52444817434045,14.261203010455219
Mineralization,Layer: Mineralization,[object Object],76.43737489541958,14.141783085967427
Mineralization,Layer: Mineralization,[object Object],76.43737489541958,14.141783085967427
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.4462112971865,14.060576855317434
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.44010552117086,14.072705335002409
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.44587923128348,14.073833337786642
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.43838035999403,14.066207165359982
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.45370408970507,14.042303099874605
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.44616595671758,14.06647366454718
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.46473699023313,14.064792939438393
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.4420083782613,14.07819525406284
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.4506881226755,14.100262010977179
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.71258263284018,13.891161963935431
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.46922946193065,14.365991587036644
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.72222833288832,13.83930208740994
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.25711298019658,14.638549673179842
Oriented Structure Line,Layer: Oriented Structure Line,[object Object],76.40339457325419,14.480860675412277
